0.383;0.859;Length 40 Width20 Height80 Angle15 Friction0.2
1.016;0.936;Length 40 Width20 Height80 Angle15 Friction0.24
0.786;0.941;Length 40 Width20 Height80 Angle15 Friction0.28
0.669;0.991;Length 40 Width20 Height80 Angle15 Friction0.32
0.851;1.077;Length 40 Width20 Height80 Angle15 Friction0.36
1.727;1.057;Length 40 Width20 Height80 Angle15 Friction0.4
0.722;0.939;Length 40 Width20 Height80 Angle20 Friction0.2
0.607;0.978;Length 40 Width20 Height80 Angle20 Friction0.24
0.278;1.058;Length 40 Width20 Height80 Angle20 Friction0.28
0.941;1.249;Length 40 Width20 Height80 Angle20 Friction0.32
1.302;1.227;Length 40 Width20 Height80 Angle20 Friction0.36
0.41;1.388;Length 40 Width20 Height80 Angle20 Friction0.4
0.336;1.105;Length 40 Width20 Height80 Angle25 Friction0.2
0.237;1.131;Length 40 Width20 Height80 Angle25 Friction0.24
1.288;1.069;Length 40 Width20 Height80 Angle25 Friction0.28
0.495;1.443;Length 40 Width20 Height80 Angle25 Friction0.32
0.113;1.456;Length 40 Width20 Height80 Angle25 Friction0.36
2.28;1.475;Length 40 Width20 Height80 Angle25 Friction0.4
0.628;1.439;Length 40 Width20 Height80 Angle30 Friction0.2
1.134;1.17;Length 40 Width20 Height80 Angle30 Friction0.24
0.447;1.215;Length 40 Width20 Height80 Angle30 Friction0.28
1.6;1.323;Length 40 Width20 Height80 Angle30 Friction0.32
0.24;1.597;Length 40 Width20 Height80 Angle30 Friction0.36
0.258;1.65;Length 40 Width20 Height80 Angle30 Friction0.4
